job_category,continent,experience_level,employment_type,company_size,work_year,salary_in_usd,salary_in_usd,salary_in_usd
,,,,,,count,mean,std
DATA_ANALYSIS,NORTH_AMERICA,MI,FT,M,2020,2,96500.0,2121.3203435596424
DATA_ANALYSIS,NORTH_AMERICA,MI,FT,M,2021,2,95000.0,7071.067811865475
DATA_ANALYSIS,NORTH_AMERICA,MI,FT,M,2022,63,116155.55555555556,39534.436347919145
DATA_ANALYSIS,NORTH_AMERICA,MI,FT,M,2023,315,100290.87936507937,36063.02372861113
DATA_ANALYSIS,NORTH_AMERICA,MI,FT,M,2024,258,107273.51550387597,39778.41441900896
DATA_ANALYSIS,NORTH_AMERICA,MI,FT,S,2022,2,58000.0,0.0
DATA_ANALYSIS,NORTH_AMERICA,MI,FT,S,2023,1,100000.0,
DATA_ANALYSIS,NORTH_AMERICA,MI,PT,M,2021,1,56000.0,
DATA_ANALYSIS,NORTH_AMERICA,SE,CT,M,2022,1,90000.0,
DATA_ANALYSIS,NORTH_AMERICA,SE,CT,M,2023,1,323905.0,
DATA_ANALYSIS,NORTH_AMERICA,SE,FT,L,2021,1,200000.0,
DATA_ANALYSIS,NORTH_AMERICA,SE,FT,L,2022,2,107500.0,10606.601717798212
DATA_ANALYSIS,NORTH_AMERICA,SE,FT,L,2023,78,140830.76923076922,53021.14086495479
DATA_ANALYSIS,NORTH_AMERICA,SE,FT,L,2024,16,133462.5,54630.563789878644
DATA_ANALYSIS,NORTH_AMERICA,SE,FT,M,2021,1,71786.0,
DATA_ANALYSIS,NORTH_AMERICA,SE,FT,M,2022,164,117590.53658536586,31922.812280089274
DATA_ANALYSIS,NORTH_AMERICA,SE,FT,M,2023,906,126974.00110375276,42296.521569595934
DATA_ANALYSIS,NORTH_AMERICA,SE,FT,M,2024,474,129830.80168776371,47262.694853630564
DATA_ANALYSIS,NORTH_AMERICA,SE,FT,S,2021,2,97500.0,24748.737341529162
DATA_ANALYSIS,NORTH_AMERICA,SE,FT,S,2023,4,106250.0,20564.93779875511
DATA_ANALYSIS,OTHER,EN,FT,L,2022,2,50000.0,0.0
DATA_ANALYSIS,OTHER,EN,FT,L,2023,1,30000.0,
DATA_ANALYSIS,OTHER,EN,FT,M,2024,9,43397.22222222222,18989.832192371912
DATA_ANALYSIS,OTHER,EN,FT,S,2023,2,45000.0,7071.067811865475
